custom_id,model_name,reasoning_model,bug_report_title,bug_report_description,affected_item,reasoning_judge,match
question___82191d7a-17bc-463c-8595-aadf7774f3d8,mistralai/mistral-small-3.1-24b-instruct,"In the provided screenshot, there is a noticeable issue with the rendering of the environment. The area appears to be extremely dark, almost pitch black, which makes it difficult to discern details of the surroundings. This level of darkness is unusual and suggests a potential lighting or rendering glitch. Additionally, the text in the image is in Turkish, which might indicate a localization issue, but it does not appear to be directly related to the visual glitch.",Extreme Darkness in Environment Rendering,"The game environment is rendered almost entirely in black, making it difficult for players to see and navigate. This extreme darkness appears to be a rendering issue, as it obscures important visual details and could negatively impact gameplay by reducing visibility and clarity. The issue seems to affect the entire scene, including characters and objects within the environment.",Environment,"The ground truth bug concerns the incorrect positioning of a dead animal being carried by a person (animation/attachment issue). The generated report instead discusses an environment rendering problem where the scene is overly dark. These are entirely different issues involving different aspects of the game (animation vs. rendering), with no overlapping symptoms or context.",False
question___67648933-8ff7-4cc5-9d95-311887b91f6a,mistralai/mistral-small-3.1-24b-instruct,"In the provided screenshot, there is a floating text that appears to be misplaced or incorrectly rendered. The text 'YE5' is visible in the upper right section of the image, which seems out of context and unrelated to the game's environment or gameplay. This suggests a potential UI rendering issue.",Floating Text 'YE5' in Game Environment,"A piece of text labeled 'YE5' is floating in the upper right section of the game environment. This text appears to be misplaced and does not seem to be part of the intended gameplay or environmental design. It could potentially distract players or cause confusion, impacting the overall immersion and visual quality of the game.",UI Element,"The ground truth describes a rendering issue where a black bull and a cow appear to be floating above the ground. The generated report, however, describes a floating piece of UI text labeled 'YE5' in the game environment. The subjects (animals vs. UI text), locations, and nature of the visual anomaly differ substantially. Therefore, they do not refer to the same bug.",False
question___7360db67-b45b-4bc2-8378-cdcca906deb7,mistralai/mistral-small-3.1-24b-instruct,"In the provided screenshot, the character's hand appears to be clipping through the helicopter's wing. This is evident as part of the hand is visibly inside the wing, which is not physically possible and indicates a rendering issue.",Character Hand Clipping Through Helicopter Wing,"The character's hand is visually intersecting with the helicopter's wing, causing a clipping issue. This glitch can be distracting and may affect the immersion of the player. The hand appears to be partially inside the wing, which is not realistic and suggests a problem with collision detection or rendering.",Character hand and helicopter wing,"Ground truth: airplane wing intersects wall and airplane is floating in air (not touching ground). Generated: character hand intersects helicopter wing. Different objects involved (airplane vs character & helicopter), different intersection targets (wall vs helicopter wing), no mention of floating or propeller. Therefore they do not describe same bug.",False
question___d2ad2064-0526-4381-a895-9f5f6581f6d5,mistralai/mistral-small-3.1-24b-instruct,"In the provided screenshot, the character's hand appears to be partially embedded in the weapon, which is visually incorrect. This suggests a rendering issue where the character model and the weapon model are not properly aligned or integrated.",Character Hand Clipping Through Weapon,"The character's hand is visibly clipping through the weapon, causing a noticeable graphical glitch. This issue affects the visual fidelity of the character and may impact the player's immersion in the game. The hand appears to be incorrectly positioned within the weapon's model, suggesting a problem with the character's animation or the weapon's attachment point.",Character model and weapon attachment,Ground truth describes the hand intersecting the character’s own body — the hand goes inside the torso and exits near the belly. The generated report instead talks about the hand intersecting an external object (the weapon) and makes no mention of the hand being inside or emerging from the character’s body. These are different clipping contexts and indicate different underlying problems.,False
question___72aae6d5-b2f8-4e1c-b940-eb163486fa3a,mistralai/mistral-small-3.1-24b-instruct,"In the provided screenshot, there are several visual anomalies. The most noticeable issue is the floating staircase that appears to be misaligned with the wall, giving the impression that it is not properly connected. Additionally, the text 'INV' is partially visible and appears to be floating in the air, which is unusual and suggests a rendering issue. There is also a URL visible in the top left corner, which is not typical in-game content and may indicate an overlay or debug information that should not be visible to players.",Floating Staircase and Misaligned Text in Game Environment,"The staircase in the image appears to be floating and misaligned with the wall, creating a visual disconnect. Additionally, the partially visible text 'INV' seems to be floating in the air, which is not consistent with the game's environment. There is also a URL visible in the top left corner, which is likely an overlay or debug information that should not be visible to players. These issues can disrupt the immersion and visual coherence of the game.","Environment (staircase, text, and URL overlay)","Ground truth speaks of a CHARACTER floating above the ground and a WOODEN BEAM clipping through the stairs. The generated report does not mention any character or wooden beam; instead it talks about the staircase itself floating/misaligned, floating text ('INV'), and an unwanted URL overlay. These are different visual problems from those in the ground truth, so the two reports do not describe the same bug.",False
question___b6e2c192-3d2b-4851-a44d-070fb8c3f4eb,mistralai/mistral-small-3.1-24b-instruct,"In the provided screenshot, there are two characters lying on the ground. The character on the left appears to have an unusual, elongated head and neck, which seems disproportionate to the rest of the body. This distortion suggests a potential graphical glitch or rendering issue.",Character Head and Neck Distortion Glitch,"One of the characters lying on the ground has an elongated head and neck, making it appear disproportionate and unnatural. This visual glitch could potentially be disorienting for players and may affect the immersion and realism of the game.",Character,"The ground truth issue concerns misplaced weapons – two guns floating without being held. The generated report instead describes a visual distortion of a character’s head and neck. These refer to different visual problems (floating objects vs. character model deformation), so they do not describe the same bug.",False
question___70668d23-1d3c-4c5e-9b0c-6900155cbd8e,mistralai/mistral-small-3.1-24b-instruct,"In the provided screenshot, there is a large black circular object floating in the air near the top left corner. This object appears to be out of place and does not seem to belong to the game environment, suggesting a rendering or graphical glitch.",Floating Black Circular Object in Game Environment,"A large black circular object is floating in the air near the top left corner of the screen. This object appears to be a graphical glitch as it does not seem to be part of the intended game environment. It may cause confusion or distraction for players, potentially impacting their gameplay experience.",Environment,"The ground truth bug concerns a sniper rifle model that is floating in the air with its barrel clipping into a wall. The generated report instead describes a large black circular object floating in the air with no mention of a sniper rifle, weapon model, or wall-clipping issue. The object type, shape, and clipping context differ, indicating they are not the same bug.",False
question___0d8c9ce5-ca96-4234-8c77-2a5b0473bde5,mistralai/mistral-small-3.1-24b-instruct,"Upon examining the image, the tractor and its attached equipment appear to be rendered correctly. However, the text on the building in the background, specifically the 'Motorex' logo, seems to be slightly misaligned or distorted. This could be a rendering issue or a problem with the texture mapping.",Misaligned Text on Building Logo,The text on the 'Motorex' logo on the building in the background appears to be slightly misaligned or distorted. This visual glitch could affect the overall aesthetic quality of the game environment and may indicate a texture mapping or rendering issue.,Environmental texture (building logo),"The ground truth describes a missing front wheel on a tractor (rendering issue with vehicle wheels). The generated bug report talks about misaligned or distorted text on a building logo. These pertain to different objects (tractor vs building logo) and different visual problems (missing geometry vs misaligned texture). Therefore, they do not describe the same bug.",False
question___833366dc-ff2a-43f2-9b70-0b0db6875c61,mistralai/mistral-small-3.1-24b-instruct,"In the provided screenshot, there are several visual anomalies. The character on the left has a distorted and transparent head, which appears to be a rendering issue. Additionally, the character in the blue vehicle has a face that seems to be misaligned or improperly textured, which could be due to a texture mapping error. The tattoos on the character in the foreground also appear to be pixelated and distorted, suggesting another texture issue.",Character Rendering and Texture Issues in Vehicle Scene,"Several characters in the screenshot exhibit significant rendering and texture issues. The character on the left has a distorted and transparent head, making it appear as if part of the model is missing. The character in the blue vehicle has a misaligned or improperly textured face, which can be disconcerting and detract from the overall visual quality. Additionally, the tattoos on the character in the foreground are pixelated and distorted, indicating potential texture mapping errors. These issues can negatively impact the immersion and visual fidelity of the game.","Characters (heads, faces, tattoos)","Ground truth bug: clipping (geometry intersection) between a male character and a blue/cyan vehicle. Generated report talks about rendering/texture problems: distorted/transparent heads, mis-textured face, pixelated tattoos. It never mentions clipping between character and vehicle; focuses on different visual defects. Therefore they do not describe the same core issue.",False
question___ecb5cbd2-a8be-4bf9-9ae6-115742dba01a,mistralai/mistral-small-3.1-24b-instruct,"In the screenshot, there is a character in mid-air with an unusual posture, suggesting a potential glitch in the animation or physics engine. The character appears to be floating or falling in an unnatural manner, which is not typical for the game's mechanics.",Character Floating/Falling Animation Glitch,A character in the game appears to be floating or falling in an unnatural manner. The character's posture and position in mid-air do not align with typical gameplay physics or animations. This could potentially confuse players or disrupt the immersion in the game.,Character,"The ground truth states that a person (character) is floating while in a kneeling position. The generated report likewise describes a character who is “floating or falling in an unnatural manner” with posture and position in mid-air that violate normal physics. Although the generated report omits the specific detail of the kneeling pose and the location (left side), the essential bug—an on-screen character suspended in mid-air contrary to expected physics/animation—is the same. Both reports point to the same core problem: an incorrectly positioned, floating character.",True
